Article/Prefix,Word,English Translation,Example Sentence,English Translation (Sentence),POS
,vergüten,compensate,Überstunden werden in dieser Firma extra vergütet.,Overtime is paid extra in this company.,V
die,"Vergütung, -en",Remuneration,Die Vergütung für dieses Praktikum ist sehr gering.,The compensation for this internship is very low.,N
,verhandeln,negotiate,Wir müssen über den Preis noch verhandeln.,We still need to negotiate the price.,V
die,"Verhinderung, -en",Prevention,Im Falle einer Verhinderung bitten wir um rechtzeitige Absage.,"If you are unable to attend, please let us know in good time.",N
der,"Verkauf, -ä-e",Sale,Der Verkauf des Hauses ging sehr schnell.,The sale of the house went very quickly.,N
der/die,"Verkaufsberater/in, -/-nen",Sales consultant,Der Verkaufsberater hat mich sehr gut beraten.,The sales consultant gave me very good advice.,N
die,"Verkaufsförderung, -en",Sales promotion,Diese Aktion dient der Verkaufsförderung.,This campaign is intended to promote sales.,N
der,"Verkaufsraum, -ä-e",Sales area,Der Verkaufsraum wurde komplett neu gestaltet.,The sales area has been completely redesigned.,N
die,"Verkaufsstätte, -n",Retail outlet,In dieser Verkaufsstätte gelten besondere Hygienevorschriften.,This retail outlet has special hygiene regulations.,N
der,"Verkehrsfluss, -ü-e",Traffic flow,Eine neue Ampelschaltung soll den Verkehrsfluss verbessern.,A new traffic light system is intended to improve traffic flow.,N
das,"Verkehrsnetz, -e",Transport network,Das Verkehrsnetz in dieser Stadt ist sehr gut ausgebaut.,The transport network in this city is very well developed.,N
,verklagen,sue,"Er drohte damit, die Firma zu verklagen.",He threatened to sue the company.,V
die,"Verlagerung, -en",Relocation,Die Verlagerung der Produktion ins Ausland kostet viele Arbeitsplätze.,Relocating production abroad costs many jobs.,N
die,"Verlängerung, -en",Extension,Wir haben eine Verlängerung der Frist beantragt.,We have requested an extension of the deadline.,N
,verlegen,embarrassed,Wir müssen den Termin auf nächste Woche verlegen.,We need to reschedule the appointment until next week.,V
die,"Verlegung, -en",Relocation,Die Verlegung der Rohre dauerte länger als geplant.,The laying of the pipes took longer than planned.,N
,vermitteln,convey,Sie konnte erfolgreich zwischen den beiden Parteien vermitteln.,She was able to successfully mediate between the two parties.,V
,vermögenswirksam,asset-building,Er zahlt monatlich in einen Vertrag für vermögenswirksame Leistungen ein.,He pays monthly into a contract for employee savings benefits.,Adj
die,"Vermutung, -en",Assumption,Meine Vermutung hat sich leider bestätigt.,"Unfortunately, my suspicion was confirmed.",N
das,"Vernehmungsprotokoll, -e",Interrogation record,Das Vernehmungsprotokoll muss vom Zeugen unterschrieben werden.,The witness must sign the interrogation transcript.,N
,verpflichtend,causing obligation,Die Teilnahme an diesem Seminar ist verpflichtend.,Participation in this seminar is mandatory.,Adj
,versalzen,oversalted,Die Suppe ist leider völlig versalzen.,The soup is unfortunately far too salty.,V
der,"Versand, -",Shipping,Der Versand der Ware erfolgt innerhalb von drei Tagen.,The goods will be shipped within three days.,N
die,"Versandkosten, -",Shipping costs,Ab einem Bestellwert von 50 Euro entfallen die Versandkosten.,Shipping is free for orders over 50 euros.,N
sich,sich verschaffen: sich einen Eindruck von,to get an impression of,Ich möchte mir vor Ort einen Eindruck von der Lage verschaffen.,I would like to get a firsthand impression of the situation.,V
,verschenken,to give away,Wir haben unsere alten Möbel verschenkt.,We gave away our old furniture.,V
,verschicken,send,Wir müssen diese Einladungen noch heute verschicken.,We need to send out these invitations today.,V
,verschlafen,overslept,Ich habe heute Morgen leider total verschlafen.,"Unfortunately, I overslept this morning.",V
sich,sich verschlechtern,worsen,Das Wetter wird sich am Wochenende voraussichtlich verschlechtern.,The weather is expected to worsen over the weekend.,V
die,"Verschmutzung, -en",Pollution,Die Verschmutzung der Ozeane ist besorgniserregend.,The pollution of the oceans is alarming.,N
die,"Verschwiegenheitspflicht, -en",Duty of confidentiality,Ärzte unterliegen einer strengen Verschwiegenheitspflicht.,Doctors are subject to a strict duty of confidentiality.,N
das,"Versehen, -",Oversight,Das war wirklich nur ein Versehen.,That was really just a mistake.,N
,versehentlich,inadvertently,Ich habe die E-Mail versehentlich gelöscht.,I accidentally deleted the email.,Adj
,versorgen,take care of,Das Krankenhaus kann bis zu 500 Patienten versorgen.,The hospital can care for up to 500 patients.,V
die,"Versorgung, -",Supply,Die medizinische Versorgung in dieser Region ist sehr gut.,Medical care in this region is very good.,N
sich,sich verspäten,be late,Der Zug wird sich voraussichtlich um 20 Minuten verspäten.,The train is expected to be delayed by 20 minutes.,V
das,"Versprechen, -",Promise,Du musst dein Versprechen unbedingt halten.,You absolutely must keep your promise.,N
,verständnisvoll,understanding,Mein Chef hat sehr verständnisvoll auf meine Situation reagiert.,My boss reacted very understandingly to my situation.,Adv
die,"Verstärkung, -en",Reinforcement,Unser Team sucht dringend Verstärkung.,Our team is urgently seeking reinforcements.,N
,verstauen,stow,Wir müssen das Gepäck sicher im Kofferraum verstauen.,We need to stow the luggage safely in the trunk.,V
,verstopft,clogged,Das Rohr in der Küche ist schon wieder verstopft.,The pipe in the kitchen is clogged again.,Adj
der,"Verstoß, -ö-e",Violation,Das ist ein klarer Verstoß gegen die Regeln.,This is a clear violation of the rules.,N
,verstoßen,violate,Er hat gegen die Auflagen seines Vertrages verstoßen.,He violated the terms of his contract.,V
,verstreichen,elapse,Wir dürfen diese Gelegenheit nicht ungenutzt verstreichen lassen.,We must not let this opportunity pass us by.,V
der,"Versuchsablauf, -ä-e",Experimental procedure,Der genaue Versuchsablauf ist im Protokoll beschrieben.,The exact experimental procedure is described in the protocol.,N
das,"Versuchsprotokoll, -e",Experiment protocol,Bitte notieren Sie alle Beobachtungen im Versuchsprotokoll.,Please record all observations in the experiment protocol.,N
,vertiefen,deepen,Ich möchte meine Kenntnisse in diesem Bereich vertiefen.,I would like to deepen my knowledge in this area.,V
,vertragen,tolerate,Ich vertrage scharfes Essen nicht besonders gut.,I don't tolerate spicy food very well.,V
,vertraglich,compatible,Die Arbeitszeiten sind vertraglich genau geregelt.,Working hours are precisely regulated by contract.,Adj
,vertraulich,confidential,Diese Informationen müssen streng vertraulich behandelt werden.,This information must be treated as strictly confidential.,Adj
,vertraut sein mit,be familiar with,Ich bin mit diesem Programm noch nicht ganz vertraut.,I'm not yet completely familiar with this program.,Adv
der,"Vertrieb, -e",Sales,Er arbeitet im Vertrieb eines großen Unternehmens.,He works in sales for a large company.,N
der/die,"Vertriebsleiter/in, -/-nen",Sales Manager,Die Vertriebsleiterin präsentierte die neuen Zahlen.,The sales manager presented the new figures.,N
die,"Verunreinigung, -en",Pollution,Eine Verunreinigung des Trinkwassers muss verhindert werden.,Contamination of the drinking water must be prevented.,N
,verwalten,administer,Sie muss das gesamte Budget der Abteilung verwalten.,She has to manage the entire department's budget.,V
der,"Verweis, -e",Reference,Im Text findet sich ein Verweis auf die entsprechende Literatur.,The text contains a reference to the relevant literature.,N
,verweisen auf,refer to,Der Redner verwies auf die aktuellen Statistiken.,The speaker referred to the current statistics.,Adv
die,"Verzögerung, -en",Delay,Wegen des schlechten Wetters kam es zu Verzögerungen.,Delays occurred due to the bad weather.,N
die,"Vielfalt, -",Diversity,Die biologische Vielfalt im Regenwald ist beeindruckend.,The biodiversity in the rainforest is impressive.,N
,vielfältig,diverse,Die Aufgaben in diesem Beruf sind sehr vielfältig.,The tasks in this profession are very diverse.,Adj
die,"Vielzahl, -",Multitude,"Es gibt eine Vielzahl von Möglichkeiten, dieses Problem zu lösen.",There are a variety of ways to solve this problem.,N
,visuell,visually,Der Film ist auch visuell ein echtes Erlebnis.,The film is also a real visual experience.,Adj
,vollständig,complete,Bitte füllen Sie das Formular vollständig aus.,Please fill out the form completely.,Adj
die,"Vollständigkeit, -",Completeness,Ich habe die Lieferung auf Vollständigkeit geprüft.,I checked the delivery for completeness.,N
die,"Voranmeldung, -en",Advance registration,Für diesen Kurs ist eine telefonische Voranmeldung erforderlich.,Advance registration by phone is required for this course.,N
,vorbeikommen,come by,Du kannst heute Nachmittag gerne bei mir vorbeikommen.,You are welcome to come by this afternoon.,V
der,"Vordergrund, -ü-e",Foreground,Bei diesem Projekt steht die Nachhaltigkeit im Vordergrund.,Sustainability is the main focus of this project.,N
das,"Voreinkommen, -",Previous income,Das Voreinkommen wird bei der Berechnung berücksichtigt.,Prior income is taken into account in the calculation.,N
der,"Vorgang, -ä-e",Process,Bitte beschreiben Sie den genauen Vorgang.,Please describe the exact process.,N
,vorgehen,proceed,Wir müssen in dieser Angelegenheit sehr vorsichtig vorgehen.,We must proceed very carefully in this matter.,V
der/die,"Vorgesetzte, -n",Supervisors,Meine Vorgesetzte hat dem Urlaubsantrag zugestimmt.,My supervisor has approved the leave request.,N
,vorhanden sein,to be available,Es müssen ausreichend Parkplätze vorhanden sein.,There must be sufficient parking spaces available.,V
,vorhergehend,previous,Im vorhergehenden Kapitel wurde dieses Thema bereits behandelt.,This topic was already covered in the previous chapter.,Adj
,vorherrschen,prevalence,In dieser Region vorherrschen starke Winde.,Strong winds prevail in this region.,V
die,"Vorkenntnis, -se",Prior knowledge,Für diesen Kurs sind keine Vorkenntnisse erforderlich.,No prior knowledge is required for this course.,N
die,"Vorlage, -n",Template,Sie können diese Vorlage für Ihre Präsentation nutzen.,You can use this template for your presentation.,N
,vorlegen,present,Bitte legen Sie Ihren Ausweis vor.,Please present your identification.,V
,vorliegen,are,Uns liegen noch keine genauen Informationen vor.,We do not yet have precise information.,V
der,"Vormarsch: auf dem Vormarsch sein, -ä-e",Advance: to be on the advance,Erneuerbare Energien sind weltweit auf dem Vormarsch.,Renewable energies are on the rise worldwide.,N
der,"Vorrang, -",Priority,Die Sicherheit unserer Mitarbeiter hat absoluten Vorrang.,The safety of our employees is our absolute priority.,N
,vorschreiben,prescribe,"Niemand kann mir vorschreiben, was ich zu tun habe.",Nobody can tell me what to do.,V
,vorsehen,provide,"Der Plan sieht vor, dass wir bis Freitag fertig sind.",The plan is to be finished by Friday.,V
die,"Vorsichtsmaßnahme, -n",Precautionary measure,Als Vorsichtsmaßnahme wurden alle Flüge gestrichen.,"As a precautionary measure, all flights were cancelled.",N
der/die,"Vorsitzende, -n",Chairperson,Der Vorsitzende eröffnete die Sitzung pünktlich.,The chairman opened the meeting on time.,N
die,"Vorsorgeuntersuchung, -en",Preventive examination,Eine regelmäßige Vorsorgeuntersuchung ist sehr wichtig.,Regular check-ups are very important.,N
,vorteilig,advantageous,Diese Regelung ist für uns sehr vorteilig.,This regulation is very advantageous for us.,Adj
,vorziehen,prefer,"Ich würde es vorziehen, wenn wir uns morgen treffen.",I would prefer if we met tomorrow.,V
der,"Wagenheber, -",Jack,"Um den Reifen zu wechseln, brauchen wir einen Wagenheber.","To change the tire, we need a jack.",N
,wahrnehmen,perceive,Wir müssen diese Chance unbedingt wahrnehmen.,We absolutely must seize this opportunity.,V
die,"Wahrnehmung, -en",Perception,Die Wahrnehmung von Schmerz ist bei jedem Menschen anders.,The perception of pain is different for everyone.,N
der,"Warenkorb, -ö-e",Shopping cart,Sie haben bereits drei Artikel in Ihrem Warenkorb.,You already have three items in your shopping cart.,N
